code(*);customer_id;first_name;street_number;street_name;city(*);country(*);coordinate;meter_serial
Trafalgar_D_Duke;Trafalgar_D_Duke;Trafalgar D. Duke;260;"Lorong 38 Geylang";Singapore;Singapore;1.314343,103.888842;01263157
Trafalgar_D_Cat_Viper;Trafalgar_D_Cat_Viper;Trafalgar D. Cat Viper;715;"Lorong 16 Geylang";Singapore;Singapore;1.311263,103.879935;01262575
Yamato_Law;Yamato_Law;Yamato Law;245;"Lorong 16 Geylang";Singapore;Singapore;1.311263,103.879935;01263969
Nekomamushi_Cyborg;Nekomamushi_Cyborg;Nekomamushi Cyborg;363;"Jalan Enam";Singapore;Singapore;1.307526,103.885526;01262449
Yamato_Okama;Yamato_Okama;Yamato (Okama);289;"Geylang East Avenue 2";Singapore;Singapore;1.316978,103.888492;01257803
Monkey_D_Gang_Bege;Monkey_D_Gang_Bege;Monkey D. Gang Bege;655;"Paya Lebar Road";Singapore;Singapore;1.317709,103.892050;01258862
Donquixote_Duke;Donquixote_Duke;Donquixote Duke;284;"Aljunied Road";Singapore;Singapore;1.324154,103.881058;01262553
Dracule_Okama;Dracule_Okama;Dracule (Okama);953;"Lorong 38 Geylang";Singapore;Singapore;1.314343,103.888842;01258865
X_Drake_Gladiator;X_Drake_Gladiator;X. Drake Gladiator;616;"Lorong 10 Geylang";Singapore;Singapore;1.311060,103.877770;01262207
X_Drake_Fishman;X_Drake_Fishman;X. Drake Fishman;849;"Geylang East Avenue 1";Singapore;Singapore;1.316644,103.885156;01260864
Arlong_Gang_Bege;Arlong_Gang_Bege;Arlong Gang Bege;423;"Lorong 16 Geylang";Singapore;Singapore;1.311263,103.879935;01259242
Tony_Tony_Okama;Tony_Tony_Okama;Tony Tony (Okama);755;"Aljunied Road";Singapore;Singapore;1.329506,103.879412;01262964
Crocodile_Dancer;Crocodile_Dancer;Crocodile Dancer;370;"Jalan Dua";Singapore;Singapore;1.309179,103.888446;01258030
Shanks_Cyborg;Shanks_Cyborg;Shanks Cyborg;846;"Geylang East Avenue 2";Singapore;Singapore;1.316197,103.888081;01259457
Crocodile_God;Crocodile_God;Crocodile God;628;"Aljunied Road";Singapore;Singapore;1.331096,103.878988;01261286
Yamato_Zoro;Yamato_Zoro;Yamato Zoro;732;"Guillemard Road";Singapore;Singapore;1.312628,103.891373;01263210
Shirahoshi_Robin;Shirahoshi_Robin;Shirahoshi Robin;384;"Lorong 28 Geylang";Singapore;Singapore;1.313172,103.885564;01261567
Brook_Ace;Brook_Ace;Brook Ace;46;"Jalan Enam";Singapore;Singapore;1.307526,103.885526;01259594
Enel_Kid;Enel_Kid;Enel Kid;522;"Guillemard Road";Singapore;Singapore;1.312628,103.891373;01263161
Enel_Marine;Enel_Marine;Enel Marine;182;"Aljunied Road";Singapore;Singapore;1.331096,103.878988;01263455
Roronoa_Kid;Roronoa_Kid;Roronoa Kid;358;"Lorong 16 Geylang";Singapore;Singapore;1.312309,103.879837;01261578
Sabo_Ace;Sabo_Ace;Sabo Ace;454;"Jalan Dua";Singapore;Singapore;1.308992,103.887518;01263396
X_Drake_Mr2;X_Drake_Mr2;X. Drake Mr.2;286;"Sims Avenue";Singapore;Singapore;1.313754,103.876751;01263234
X_Drake_Teach;X_Drake_Teach;X. Drake Teach;868;"Lorong 22 Geylang";Singapore;Singapore;1.310695,103.882132;01260951
Kozuki_Zoro;Kozuki_Zoro;Kozuki Zoro;244;"Sims Avenue";Singapore;Singapore;1.318016,103.898978;01259550
Arlong_Zoro;Arlong_Zoro;Arlong Zoro;873;"Jalan Enam";Singapore;Singapore;1.307526,103.885526;01263168
Kozuki_Ace;Kozuki_Ace;Kozuki Ace;132;"Geylang Road";Singapore;Singapore;1.315855,103.895967;01261329
Crocodile_Fishman;Crocodile_Fishman;Crocodile Fishman;404;"Jalan Enam";Singapore;Singapore;1.307526,103.885526;01263205
X_Drake_Onigashima;X_Drake_Onigashima;X. Drake Onigashima;732;"Lorong 28 Geylang";Singapore;Singapore;1.313172,103.885564;01263521
Jewelry_Luffy;Jewelry_Luffy;Jewelry Luffy;87;"Lorong Bachok";Singapore;Singapore;1.314037,103.880050;01258595
Shanks_Fishman;Shanks_Fishman;Shanks Fishman;641;"Lorong 33 Geylang";Singapore;Singapore;1.315935,103.887954;01258357
Boa_God;Boa_God;Boa God;651;"Lorong 38 Geylang";Singapore;Singapore;1.314343,103.888842;01263300
Monkey_D_Fishman;Monkey_D_Fishman;Monkey D. Fishman;859;"Lorong 33 Geylang";Singapore;Singapore;1.314257,103.887989;01263305
Vinsmoke_Law;Vinsmoke_Law;Vinsmoke Law;338;"Jalan Satu";Singapore;Singapore;1.308417,103.889067;01263557
Boa_Mad_Monk;Boa_Mad_Monk;Boa Mad Monk;841;"Lorong 12 Geylang";Singapore;Singapore;1.311688,103.878273;01257955
Marshall_D_Law;Marshall_D_Law;Marshall D. Law;477;"Sims Avenue";Singapore;Singapore;1.316186,103.887524;01264045
Shirahoshi_Zoro;Shirahoshi_Zoro;Shirahoshi Zoro;28;"Lorong 12 Geylang";Singapore;Singapore;1.311688,103.878273;01263351
Buggy_Kid;Buggy_Kid;Buggy Kid;4;"Lorong 33 Geylang";Singapore;Singapore;1.315935,103.887954;01258144
Boa_Chopper;Boa_Chopper;Boa Chopper;562;"Sims Avenue";Singapore;Singapore;1.313754,103.876751;01257078
Arlong_Dancer;Arlong_Dancer;Arlong Dancer;731;"Lorong 12 Geylang";Singapore;Singapore;1.311688,103.878273;01258659
Marshall_D_Fishman;Marshall_D_Fishman;Marshall D. Fishman;634;"Tanjong Katong Road";Singapore;Singapore;1.308121,103.895077;01262515
Brook_Kid;Brook_Kid;Brook Kid;51;"Lorong 33 Geylang";Singapore;Singapore;1.314257,103.887989;01262447
Tony_Tony_Katakuri;Tony_Tony_Katakuri;Tony Tony Katakuri;790;"Sims Avenue";Singapore;Singapore;1.319128,103.904389;01263428
Enel_Mad_Monk;Enel_Mad_Monk;Enel Mad Monk;219;"Lorong 40 Geylang";Singapore;Singapore;1.313164,103.889899;01261852
Roronoa_Marine;Roronoa_Marine;Roronoa Marine;649;"Jalan Dua";Singapore;Singapore;1.308992,103.887518;01262555
Donquixote_Onigashima;Donquixote_Onigashima;Donquixote Onigashima;397;"Jalan Satu";Singapore;Singapore;1.308417,103.889067;01262505
Nekomamushi_Sir;Nekomamushi_Sir;Nekomamushi Sir;640;"Jalan Dua";Singapore;Singapore;1.308992,103.887518;01263547
Marshall_D_Luffy;Marshall_D_Luffy;Marshall D. Luffy;201;"Lorong Bachok";Singapore;Singapore;1.313942,103.879613;01257817
Nefertari_God;Nefertari_God;Nefertari God;672;"Jalan Dua";Singapore;Singapore;1.308992,103.887518;01263431
Donquixote_Fishman;Donquixote_Fishman;Donquixote Fishman;68;"Lorong 27 Geylang";Singapore;Singapore;1.313563,103.883757;01257292
Monkey_D_Mad_Monk;Monkey_D_Mad_Monk;Monkey D. Mad Monk;920;"Tanjong Katong Road";Singapore;Singapore;1.304707,103.896406;01260606
Eustass_Mermaid_Princess;Eustass_Mermaid_Princess;Eustass Mermaid Princess;492;"Lorong 33 Geylang";Singapore;Singapore;1.315935,103.887954;01263765
Enel_Bonney;Enel_Bonney;Enel Bonney;46;"Geylang East Avenue 1";Singapore;Singapore;1.316644,103.885156;01263121
Nefertari_Mihawk;Nefertari_Mihawk;Nefertari Mihawk;125;"Paya Lebar Road";Singapore;Singapore;1.317709,103.892050;01263312
Charlotte_Teach;Charlotte_Teach;Charlotte Teach;11;"Geylang Road";Singapore;Singapore;1.314755,103.894922;01257572
X_Drake_Oden;X_Drake_Oden;X. Drake Oden;918;"Tanjong Katong Road";Singapore;Singapore;1.304707,103.896406;01262726
Boa_Kid;Boa_Kid;Boa Kid;496;"Sims Avenue";Singapore;Singapore;1.315966,103.888263;01259287
Charlotte_Mihawk;Charlotte_Mihawk;Charlotte Mihawk;14;"Geylang East Avenue 2";Singapore;Singapore;1.316978,103.888492;01257699
Sabo_Fishman;Sabo_Fishman;Sabo Fishman;754;"Geylang East Avenue 2";Singapore;Singapore;1.316197,103.888081;01262558
Nekomamushi_Onigashima;Nekomamushi_Onigashima;Nekomamushi Onigashima;130;"Lorong 25 Geylang";Singapore;Singapore;1.313546,103.882821;01259442
Buggy_Marine;Buggy_Marine;Buggy Marine;899;"Lorong Bachok";Singapore;Singapore;1.313942,103.879613;01261555
Portgas_D_Kid;Portgas_D_Kid;Portgas D. Kid;524;"Jalan Satu";Singapore;Singapore;1.308417,103.889067;01262683
Jimbei_Clown;Jimbei_Clown;Jimbei Clown;344;"Lorong 25 Geylang";Singapore;Singapore;1.313546,103.882821;01257515
Arlong_Duke;Arlong_Duke;Arlong Duke;944;"Geylang East Avenue 1";Singapore;Singapore;1.316644,103.885156;01257464
Enel_Mr2;Enel_Mr2;Enel Mr.2;781;"Jalan Satu";Singapore;Singapore;1.308417,103.889067;01263090
Trafalgar_D_Oden;Trafalgar_D_Oden;Trafalgar D. Oden;978;"Guillemard Road";Singapore;Singapore;1.310403,103.882010;01262584
Eustass_Teach;Eustass_Teach;Eustass Teach;801;"Lorong 27 Geylang";Singapore;Singapore;1.316220,103.883875;01262255
Jimbei_Hancock;Jimbei_Hancock;Jimbei Hancock;988;"Tanjong Katong Road";Singapore;Singapore;1.304707,103.896406;01260990
Jimbei_Kid;Jimbei_Kid;Jimbei Kid;351;"Lorong 27 Geylang";Singapore;Singapore;1.314348,103.883743;01263186
Boa_Bonney;Boa_Bonney;Boa Bonney;939;"Geylang East Central";Singapore;Singapore;1.320271,103.887383;01262421
Yamato_God;Yamato_God;Yamato God;688;"Lorong 27 Geylang";Singapore;Singapore;1.316220,103.883875;01262430
Sabo_Katakuri;Sabo_Katakuri;Sabo Katakuri;945;"Guillemard Road";Singapore;Singapore;1.312628,103.891373;01258879
Shanks_Dancer;Shanks_Dancer;Shanks Dancer;262;"Jalan Satu";Singapore;Singapore;1.308417,103.889067;01264032
Shirahoshi_Dancer;Shirahoshi_Dancer;Shirahoshi Dancer;427;"Geylang East Central";Singapore;Singapore;1.320271,103.887383;01258528
Kozuki_Cyborg;Kozuki_Cyborg;Kozuki Cyborg;642;"Jalan Satu";Singapore;Singapore;1.308417,103.889067;01257729
Vinsmoke_Revo;Vinsmoke_Revo;Vinsmoke Revo;216;"Tanjong Katong Road";Singapore;Singapore;1.307258,103.895237;01262503
Eustass_Cyborg;Eustass_Cyborg;Eustass Cyborg;604;"Geylang East Avenue 1";Singapore;Singapore;1.316644,103.885156;01262610
Arlong_Onigashima;Arlong_Onigashima;Arlong Onigashima;177;"Tanjong Katong Road";Singapore;Singapore;1.300578,103.897151;01262456
Buggy_Revo;Buggy_Revo;Buggy Revo;593;"Lorong 22 Geylang";Singapore;Singapore;1.310695,103.882132;01262402
Buggy_Chopper;Buggy_Chopper;Buggy Chopper;215;"Lorong 27 Geylang";Singapore;Singapore;1.316220,103.883875;01262463
Portgas_D_Sir;Portgas_D_Sir;Portgas D. Sir;990;"Paya Lebar Road";Singapore;Singapore;1.317709,103.892050;01263317
Franky_Duke;Franky_Duke;Franky Duke;202;"Jalan Enam";Singapore;Singapore;1.307526,103.885526;01257604
Ivankov_Fishman;Ivankov_Fishman;Ivankov Fishman;661;"Lorong 22 Geylang";Singapore;Singapore;1.310695,103.882132;01263808
Rebecca_Robin;Rebecca_Robin;Rebecca Robin;409;"Jalan Enam";Singapore;Singapore;1.307526,103.885526;01261242
Yamato_Mr2;Yamato_Mr2;Yamato Mr.2;680;"Geylang East Avenue 2";Singapore;Singapore;1.316978,103.888492;01260661
Nefertari_Cat_Viper;Nefertari_Cat_Viper;Nefertari Cat Viper;877;"Geylang East Avenue 1";Singapore;Singapore;1.317633,103.885626;01262724
Shirahoshi_Clown;Shirahoshi_Clown;Shirahoshi Clown;356;"Jalan Satu";Singapore;Singapore;1.308417,103.889067;01257559
Enel_Law;Enel_Law;Enel Law;238;"Paya Lebar Road";Singapore;Singapore;1.332453,103.889079;01257808
Dracule_Cat_Viper;Dracule_Cat_Viper;Dracule Cat Viper;12;"Sims Avenue";Singapore;Singapore;1.318016,103.898978;01263334
Inuarashi_Fishman;Inuarashi_Fishman;Inuarashi Fishman;792;"Lorong 33 Geylang";Singapore;Singapore;1.314985,103.887829;01257783
Arlong_Clown;Arlong_Clown;Arlong Clown;983;"Lorong Bachok";Singapore;Singapore;1.313942,103.879613;01263124
Marshall_D_Clown;Marshall_D_Clown;Marshall D. Clown;348;"Aljunied Road";Singapore;Singapore;1.329506,103.879412;01258577
Pekoms_Cat_Viper;Pekoms_Cat_Viper;Pekoms Cat Viper;662;"Lorong 12 Geylang";Singapore;Singapore;1.311688,103.878273;01258530
Boa_Star_Clown;Boa_Star_Clown;Boa Star Clown;662;"Jalan Satu";Singapore;Singapore;1.308417,103.889067;01263880
Crocodile_Doflamingo;Crocodile_Doflamingo;Crocodile Doflamingo;672;"Geylang Road";Singapore;Singapore;1.314515,103.890311;01258255
Yamato_Cyborg;Yamato_Cyborg;Yamato Cyborg;705;"Tanjong Katong Road";Singapore;Singapore;1.307455,103.895417;01262406
Enel_Cyborg;Enel_Cyborg;Enel Cyborg;451;"Lorong 38 Geylang";Singapore;Singapore;1.314343,103.888842;01262512
Jewelry_Ace;Jewelry_Ace;Jewelry Ace;860;"Lorong 16 Geylang";Singapore;Singapore;1.311263,103.879935;01262454
Dracule_Duke;Dracule_Duke;Dracule Duke;651;"Paya Lebar Road";Singapore;Singapore;1.317709,103.892050;01259780
Bentham_Gang_Bege;Bentham_Gang_Bege;Bentham Gang Bege;76;"Guillemard Road";Singapore;Singapore;1.309616,103.880417;01261528
Donquixote_Chopper;Donquixote_Chopper;Donquixote Chopper;522;"Sims Avenue";Singapore;Singapore;1.313754,103.876751;01261006
Bentham_Oden;Bentham_Oden;Bentham Oden;196;"Lorong 25 Geylang";Singapore;Singapore;1.313546,103.882821;01261071
Shanks_Mermaid_Princess;Shanks_Mermaid_Princess;Shanks Mermaid Princess;773;"Paya Lebar Road";Singapore;Singapore;1.330617,103.889438;01260865
Portgas_D_Oden;Portgas_D_Oden;Portgas D. Oden;449;"Tanjong Katong Road";Singapore;Singapore;1.304861,103.896356;01257443
Rebecca_Gang_Bege;Rebecca_Gang_Bege;Rebecca Gang Bege;957;"Lorong Bachok";Singapore;Singapore;1.313942,103.879613;01261433
Yamato_Dancer;Yamato_Dancer;Yamato Dancer;370;"Lorong 16 Geylang";Singapore;Singapore;1.311263,103.879935;01262723
Inuarashi_Luffy;Inuarashi_Luffy;Inuarashi Luffy;468;"Paya Lebar Road";Singapore;Singapore;1.319647,103.891600;01262472
Franky_Katakuri;Franky_Katakuri;Franky Katakuri;984;"Lorong 12 Geylang";Singapore;Singapore;1.311688,103.878273;01263394
Marshall_D_Katakuri;Marshall_D_Katakuri;Marshall D. Katakuri;905;"Lorong Bachok";Singapore;Singapore;1.313942,103.879613;01263878
Jimbei_Mihawk;Jimbei_Mihawk;Jimbei Mihawk;759;"Geylang East Central";Singapore;Singapore;1.320271,103.887383;01258338
Viola_Cyborg;Viola_Cyborg;Viola Cyborg;874;"Lorong 16 Geylang";Singapore;Singapore;1.311263,103.879935;01258612
Ivankov_Sanji;Ivankov_Sanji;Ivankov Sanji;185;"Lorong 33 Geylang";Singapore;Singapore;1.314257,103.887989;01262462
Crocodile_Mad_Monk;Crocodile_Mad_Monk;Crocodile Mad Monk;419;"Tanjong Katong Road";Singapore;Singapore;1.304861,103.896356;01258534
Portgas_D_Dancer;Portgas_D_Dancer;Portgas D. Dancer;531;"Geylang East Avenue 2";Singapore;Singapore;1.316978,103.888492;01259227
Marshall_D_Gang_Bege;Marshall_D_Gang_Bege;Marshall D. Gang Bege;797;"Lorong 22 Geylang";Singapore;Singapore;1.310695,103.882132;01263558
Portgas_D_Marine;Portgas_D_Marine;Portgas D. Marine;823;"Lorong 16 Geylang";Singapore;Singapore;1.311263,103.879935;01258475
Shirahoshi_Mad_Monk;Shirahoshi_Mad_Monk;Shirahoshi Mad Monk;873;"Jalan Enam";Singapore;Singapore;1.307526,103.885526;01257845
Shanks_Luffy;Shanks_Luffy;Shanks Luffy;286;"Lorong 22 Geylang";Singapore;Singapore;1.310695,103.882132;01257630
Bentham_Duke;Bentham_Duke;Bentham Duke;863;"Sims Avenue";Singapore;Singapore;1.313754,103.876751;01262958
Bentham_Cat_Viper;Bentham_Cat_Viper;Bentham Cat Viper;423;"Lorong 10 Geylang";Singapore;Singapore;1.311060,103.877770;01257688
Dracule_Onigashima;Dracule_Onigashima;Dracule Onigashima;309;"Tanjong Katong Road";Singapore;Singapore;1.306196,103.896055;01258431
Boa_Mihawk;Boa_Mihawk;Boa Mihawk;609;"Sims Avenue";Singapore;Singapore;1.319128,103.904389;01263216
Donquixote_Sir;Donquixote_Sir;Donquixote Sir;744;"Tanjong Katong Road";Singapore;Singapore;1.304707,103.896406;01260970
Monkey_D_Onigashima;Monkey_D_Onigashima;Monkey D. Onigashima;106;"Guillemard Road";Singapore;Singapore;1.312628,103.891373;01258069
Brook_Chopper;Brook_Chopper;Brook Chopper;295;"Lorong 12 Geylang";Singapore;Singapore;1.311688,103.878273;01257819
Donquixote_Revo;Donquixote_Revo;Donquixote Revo;665;"Lorong 10 Geylang";Singapore;Singapore;1.311060,103.877770;01262478
Vinsmoke_Doflamingo;Vinsmoke_Doflamingo;Vinsmoke Doflamingo;813;"Lorong Bachok";Singapore;Singapore;1.313942,103.879613;01258025
Nefertari_Cyborg;Nefertari_Cyborg;Nefertari Cyborg;305;"Tanjong Katong Road";Singapore;Singapore;1.306296,103.896019;01262428
Crocodile_Chopper;Crocodile_Chopper;Crocodile Chopper;292;"Lorong 40 Geylang";Singapore;Singapore;1.312992,103.889933;01261137
Dracule_Sir;Dracule_Sir;Dracule Sir;677;"Jalan Satu";Singapore;Singapore;1.308453,103.889060;01263193
Monkey_D_Cat_Viper;Monkey_D_Cat_Viper;Monkey D. Cat Viper;446;"Lorong 25 Geylang";Singapore;Singapore;1.313488,103.882843;01263283
Bentham_Mermaid_Princess;Bentham_Mermaid_Princess;Bentham Mermaid Princess;404;"Lorong 28 Geylang";Singapore;Singapore;1.312948,103.885577;01258477
Marshall_D_Robin;Marshall_D_Robin;Marshall D. Robin;473;"Lorong 40 Geylang";Singapore;Singapore;1.312992,103.889933;01262855
Crocodile_Revo;Crocodile_Revo;Crocodile Revo;544;"Guillemard Road";Singapore;Singapore;1.309288,103.878047;01263855
Vinsmoke_Fishman;Vinsmoke_Fishman;Vinsmoke Fishman;912;"Paya Lebar Road";Singapore;Singapore;1.328633,103.889822;01263886
Jewelry_Fishman;Jewelry_Fishman;Jewelry Fishman;211;"Guillemard Road";Singapore;Singapore;1.309288,103.878047;01261459
Monkey_D_Luffy;Monkey_D_Luffy;Monkey D. Luffy;574;"Tanjong Katong Road";Singapore;Singapore;1.308459,103.894899;01260265
Monkey_D_Clown;Monkey_D_Clown;Monkey D. Clown;545;"Lorong 25 Geylang";Singapore;Singapore;1.313488,103.882843;01263153
Donquixote_Mr2;Donquixote_Mr2;Donquixote Mr.2;700;"Guillemard Road";Singapore;Singapore;1.309288,103.878047;01262465
Nico_Ace;Nico_Ace;Nico Ace;722;"Geylang East Central";Singapore;Singapore;1.320271,103.887383;01262448
Roronoa_Clown;Roronoa_Clown;Roronoa Clown;365;"Lorong 38 Geylang";Singapore;Singapore;1.314268,103.888856;01257260
