No.;Street Number;Street Name;Household Owner;Household Code;Coordinate
120;920;"Tanjong Katong Road";Monkey D. Mad Monk;Monkey_D_Mad_Monk;1.304707,103.896406
121;492;"Lorong 33 Geylang";Eustass Mermaid Princess;Eustass_Mermaid_Princess;1.315935,103.887954
122;46;"Geylang East Avenue 1";Enel Bonney;Enel_Bonney;1.316644,103.885156
123;125;"Paya Lebar Road";Nefertari Mihawk;Nefertari_Mihawk;1.317709,103.892050
124;11;"Geylang Road";Charlotte Teach;Charlotte_Teach;1.314755,103.894922
125;918;"Tanjong Katong Road";X. Drake Oden;X_Drake_Oden;1.304707,103.896406
126;496;"Sims Avenue";Boa Kid;Boa_Kid;1.315966,103.888263
127;14;"Geylang East Avenue 2";Charlotte Mihawk;Charlotte_Mihawk;1.316978,103.888492
128;754;"Geylang East Avenue 2";Sabo Fishman;Sabo_Fishman;1.316197,103.888081
129;130;"Lorong 25 Geylang";Nekomamushi Onigashima;Nekomamushi_Onigashima;1.313546,103.882821
130;899;"Lorong Bachok";Buggy Marine;Buggy_Marine;1.313942,103.879613
131;524;"Jalan Satu";Portgas D. Kid;Portgas_D_Kid;1.308417,103.889067
132;344;"Lorong 25 Geylang";Jimbei Clown;Jimbei_Clown;1.313546,103.882821
133;944;"Geylang East Avenue 1";Arlong Duke;Arlong_Duke;1.316644,103.885156
134;781;"Jalan Satu";Enel Mr.2;Enel_Mr2;1.308417,103.889067
135;978;"Guillemard Road";Trafalgar D. Oden;Trafalgar_D_Oden;1.310403,103.882010
136;801;"Lorong 27 Geylang";Eustass Teach;Eustass_Teach;1.316220,103.883875
137;988;"Tanjong Katong Road";Jimbei Hancock;Jimbei_Hancock;1.304707,103.896406
138;351;"Lorong 27 Geylang";Jimbei Kid;Jimbei_Kid;1.314348,103.883743
139;939;"Geylang East Central";Boa Bonney;Boa_Bonney;1.320271,103.887383
140;688;"Lorong 27 Geylang";Yamato God;Yamato_God;1.316220,103.883875
141;945;"Guillemard Road";Sabo Katakuri;Sabo_Katakuri;1.312628,103.891373
142;262;"Jalan Satu";Shanks Dancer;Shanks_Dancer;1.308417,103.889067
143;427;"Geylang East Central";Shirahoshi Dancer;Shirahoshi_Dancer;1.320271,103.887383
144;642;"Jalan Satu";Kozuki Cyborg;Kozuki_Cyborg;1.308417,103.889067
145;216;"Tanjong Katong Road";Vinsmoke Revo;Vinsmoke_Revo;1.307258,103.895237
146;604;"Geylang East Avenue 1";Eustass Cyborg;Eustass_Cyborg;1.316644,103.885156
147;177;"Tanjong Katong Road";Arlong Onigashima;Arlong_Onigashima;1.300578,103.897151
148;593;"Lorong 22 Geylang";Buggy Revo;Buggy_Revo;1.310695,103.882132
149;215;"Lorong 27 Geylang";Buggy Chopper;Buggy_Chopper;1.316220,103.883875
150;990;"Paya Lebar Road";Portgas D. Sir;Portgas_D_Sir;1.317709,103.892050
151;202;"Jalan Enam";Franky Duke;Franky_Duke;1.307526,103.885526
152;661;"Lorong 22 Geylang";Ivankov Fishman;Ivankov_Fishman;1.310695,103.882132
153;409;"Jalan Enam";Rebecca Robin;Rebecca_Robin;1.307526,103.885526
154;680;"Geylang East Avenue 2";Yamato Mr.2;Yamato_Mr2;1.316978,103.888492
155;877;"Geylang East Avenue 1";Nefertari Cat Viper;Nefertari_Cat_Viper;1.317633,103.885626
156;356;"Jalan Satu";Shirahoshi Clown;Shirahoshi_Clown;1.308417,103.889067
157;238;"Paya Lebar Road";Enel Law;Enel_Law;1.332453,103.889079
158;12;"Sims Avenue";Dracule Cat Viper;Dracule_Cat_Viper;1.318016,103.898978
159;792;"Lorong 33 Geylang";Inuarashi Fishman;Inuarashi_Fishman;1.314985,103.887829
160;983;"Lorong Bachok";Arlong Clown;Arlong_Clown;1.313942,103.879613
161;348;"Aljunied Road";Marshall D. Clown;Marshall_D_Clown;1.329506,103.879412
162;662;"Lorong 12 Geylang";Pekoms Cat Viper;Pekoms_Cat_Viper;1.311688,103.878273
163;662;"Jalan Satu";Boa Star Clown;Boa_Star_Clown;1.308417,103.889067
164;672;"Geylang Road";Crocodile Doflamingo;Crocodile_Doflamingo;1.314515,103.890311
165;705;"Tanjong Katong Road";Yamato Cyborg;Yamato_Cyborg;1.307455,103.895417
166;451;"Lorong 38 Geylang";Enel Cyborg;Enel_Cyborg;1.314343,103.888842
167;860;"Lorong 16 Geylang";Jewelry Ace;Jewelry_Ace;1.311263,103.879935
168;651;"Paya Lebar Road";Dracule Duke;Dracule_Duke;1.317709,103.892050
169;76;"Guillemard Road";Bentham Gang Bege;Bentham_Gang_Bege;1.309616,103.880417
170;522;"Sims Avenue";Donquixote Chopper;Donquixote_Chopper;1.313754,103.876751
171;196;"Lorong 25 Geylang";Bentham Oden;Bentham_Oden;1.313546,103.882821
172;773;"Paya Lebar Road";Shanks Mermaid Princess;Shanks_Mermaid_Princess;1.330617,103.889438
173;449;"Tanjong Katong Road";Portgas D. Oden;Portgas_D_Oden;1.304861,103.896356
174;957;"Lorong Bachok";Rebecca Gang Bege;Rebecca_Gang_Bege;1.313942,103.879613
175;370;"Lorong 16 Geylang";Yamato Dancer;Yamato_Dancer;1.311263,103.879935
176;468;"Paya Lebar Road";Inuarashi Luffy;Inuarashi_Luffy;1.319647,103.891600
177;984;"Lorong 12 Geylang";Franky Katakuri;Franky_Katakuri;1.311688,103.878273
178;905;"Lorong Bachok";Marshall D. Katakuri;Marshall_D_Katakuri;1.313942,103.879613
179;759;"Geylang East Central";Jimbei Mihawk;Jimbei_Mihawk;1.320271,103.887383
180;874;"Lorong 16 Geylang";Viola Cyborg;Viola_Cyborg;1.311263,103.879935
181;185;"Lorong 33 Geylang";Ivankov Sanji;Ivankov_Sanji;1.314257,103.887989
182;419;"Tanjong Katong Road";Crocodile Mad Monk;Crocodile_Mad_Monk;1.304861,103.896356
183;531;"Geylang East Avenue 2";Portgas D. Dancer;Portgas_D_Dancer;1.316978,103.888492
184;797;"Lorong 22 Geylang";Marshall D. Gang Bege;Marshall_D_Gang_Bege;1.310695,103.882132
185;823;"Lorong 16 Geylang";Portgas D. Marine;Portgas_D_Marine;1.311263,103.879935
186;873;"Jalan Enam";Shirahoshi Mad Monk;Shirahoshi_Mad_Monk;1.307526,103.885526
187;286;"Lorong 22 Geylang";Shanks Luffy;Shanks_Luffy;1.310695,103.882132
188;863;"Sims Avenue";Bentham Duke;Bentham_Duke;1.313754,103.876751
189;423;"Lorong 10 Geylang";Bentham Cat Viper;Bentham_Cat_Viper;1.311060,103.877770
190;309;"Tanjong Katong Road";Dracule Onigashima;Dracule_Onigashima;1.306196,103.896055
191;609;"Sims Avenue";Boa Mihawk;Boa_Mihawk;1.319128,103.904389
192;744;"Tanjong Katong Road";Donquixote Sir;Donquixote_Sir;1.304707,103.896406
193;106;"Guillemard Road";Monkey D. Onigashima;Monkey_D_Onigashima;1.312628,103.891373
194;295;"Lorong 12 Geylang";Brook Chopper;Brook_Chopper;1.311688,103.878273
195;665;"Lorong 10 Geylang";Donquixote Revo;Donquixote_Revo;1.311060,103.877770
196;813;"Lorong Bachok";Vinsmoke Doflamingo;Vinsmoke_Doflamingo;1.313942,103.879613
197;305;"Tanjong Katong Road";Nefertari Cyborg;Nefertari_Cyborg;1.306296,103.896019
198;292;"Lorong 40 Geylang";Crocodile Chopper;Crocodile_Chopper;1.312992,103.889933
199;677;"Jalan Satu";Dracule Sir;Dracule_Sir;1.308453,103.889060
200;446;"Lorong 25 Geylang";Monkey D. Cat Viper;Monkey_D_Cat_Viper;1.313488,103.882843
201;404;"Lorong 28 Geylang";Bentham Mermaid Princess;Bentham_Mermaid_Princess;1.312948,103.885577
202;473;"Lorong 40 Geylang";Marshall D. Robin;Marshall_D_Robin;1.312992,103.889933
203;544;"Guillemard Road";Crocodile Revo;Crocodile_Revo;1.309288,103.878047
204;912;"Paya Lebar Road";Vinsmoke Fishman;Vinsmoke_Fishman;1.328633,103.889822
205;211;"Guillemard Road";Jewelry Fishman;Jewelry_Fishman;1.309288,103.878047
206;574;"Tanjong Katong Road";Monkey D. Luffy;Monkey_D_Luffy;1.308459,103.894899
207;545;"Lorong 25 Geylang";Monkey D. Clown;Monkey_D_Clown;1.313488,103.882843
208;700;"Guillemard Road";Donquixote Mr.2;Donquixote_Mr2;1.309288,103.878047
209;722;"Geylang East Central";Nico Ace;Nico_Ace;1.320271,103.887383
210;365;"Lorong 38 Geylang";Roronoa Clown;Roronoa_Clown;1.314268,103.888856
211;415;"Paya Lebar Road";Tony Tony Gang Bege;Tony_Tony_Gang_Bege;1.328633,103.889822
212;408;"Lorong 10 Geylang";Tony Tony Law;Tony_Tony_Law;1.311505,103.877669
213;727;"Geylang East Central";Eustass Mihawk;Eustass_Mihawk;1.320271,103.887383
214;660;"Lorong 22 Geylang";Vinsmoke Mad Monk;Vinsmoke_Mad_Monk;1.311354,103.882128
215;395;"Paya Lebar Road";Caesar Mad Monk;Caesar_Mad_Monk;1.328633,103.889822
216;350;"Lorong Bachok";Koala Red-Haired;Koala_RedHaired;1.313975,103.879763
217;173;"Lorong 33 Geylang";Monkey D. Teach;Monkey_D_Teach;1.315797,103.887885
218;796;"Lorong 40 Geylang";X. Drake Sanji;X_Drake_Sanji;1.312992,103.889933
219;111;"Lorong 12 Geylang";Donquixote Sanji;Donquixote_Sanji;1.311688,103.878273
220;634;"Guillemard Road";Pedro Mermaid Princess;Pedro_Mermaid_Princess;1.311316,103.885966
221;109;"Guillemard Road";Tony Tony Ace;Tony_Tony_Ace;1.309288,103.878047
222;666;"Lorong 40 Geylang";Caesar Robin;Caesar_Robin;1.312992,103.889933
223;799;"Geylang East Avenue 2";Shanks Red-Haired;Shanks_RedHaired;1.319345,103.888818
224;81;"Lorong 22 Geylang";Portgas D. Teach;Portgas_D_Teach;1.311354,103.882128
225;882;"Jalan Enam";Franky Mermaid Princess;Franky_Mermaid_Princess;1.307334,103.885615
226;919;"Lorong 16 Geylang";Yamato Gang Bege;Yamato_Gang_Bege;1.311786,103.879886
227;510;"Geylang East Avenue 2";Franky Onigashima;Franky_Onigashima;1.316929,103.888472
228;507;"Lorong 38 Geylang";Kozuki Luffy;Kozuki_Luffy;1.314268,103.888856
229;143;"Lorong 10 Geylang";Viola Revo;Viola_Revo;1.311505,103.877669
230;873;"Lorong 38 Geylang";Shirahoshi Duke;Shirahoshi_Duke;1.314268,103.888856
231;278;"Jalan Enam";Inuarashi (Okama);Inuarashi_Okama;1.307334,103.885615
232;162;"Lorong 38 Geylang";Jewelry Mr.2;Jewelry_Mr2;1.314268,103.888856
233;97;"Guillemard Road";Sabo Chopper;Sabo_Chopper;1.311316,103.885966
234;582;"Sims Avenue";Donquixote Mermaid Princess;Donquixote_Mermaid_Princess;1.315242,103.883405
235;72;"Lorong 38 Geylang";Viola Chopper;Viola_Chopper;1.314268,103.888856
236;881;"Lorong 40 Geylang";Charlotte Mad Monk;Charlotte_Mad_Monk;1.312992,103.889933
237;242;"Lorong 25 Geylang";Inuarashi Robin;Inuarashi_Robin;1.313488,103.882843
238;949;"Lorong Bachok";Pedro Hancock;Pedro_Hancock;1.313975,103.879763
239;771;"Guillemard Road";X. Drake Cat Viper;X_Drake_Cat_Viper;1.309288,103.878047
240;965;"Lorong 38 Geylang";Sabo Oden;Sabo_Oden;1.314268,103.888856
241;162;"Lorong 16 Geylang";Viola Onigashima;Viola_Onigashima;1.311786,103.879886
242;170;"Lorong 25 Geylang";Crocodile Clown;Crocodile_Clown;1.313488,103.882843
243;951;"Geylang East Avenue 1";Nefertari Mermaid Princess;Nefertari_Mermaid_Princess;1.316649,103.885158
244;377;"Lorong 12 Geylang";Caesar Onigashima;Caesar_Onigashima;1.311688,103.878273
245;196;"Paya Lebar Road";Jewelry Kid;Jewelry_Kid;1.328633,103.889822
246;594;"Lorong 40 Geylang";Caesar Ace;Caesar_Ace;1.312992,103.889933
247;224;"Jalan Satu";Arlong Star Clown;Arlong_Star_Clown;1.308453,103.889060
248;882;"Lorong 28 Geylang";Sabo Clown;Sabo_Clown;1.312948,103.885577
249;703;"Lorong 28 Geylang";Eustass Zoro;Eustass_Zoro;1.312948,103.885577
250;82;"Jalan Dua";Nekomamushi Red-Haired;Nekomamushi_RedHaired;1.308984,103.887473
251;917;"Lorong 38 Geylang";Charlotte Revo;Charlotte_Revo;1.313951,103.888916
252;907;"Lorong 10 Geylang";Pedro Cyborg;Pedro_Cyborg;1.311505,103.877669
253;429;"Lorong 40 Geylang";Sabo Red-Haired;Sabo_RedHaired;1.312992,103.889933
254;981;"Lorong 25 Geylang";Nekomamushi Chopper;Nekomamushi_Chopper;1.313488,103.882843
255;493;"Lorong 40 Geylang";Franky Law;Franky_Law;1.312992,103.889933
256;993;"Jalan Enam";Donquixote Doflamingo;Donquixote_Doflamingo;1.307604,103.885438
257;619;"Paya Lebar Road";Charlotte (Okama);Charlotte_Okama;1.328633,103.889822
258;818;"Lorong 33 Geylang";Brook Cat Viper;Brook_Cat_Viper;1.316027,103.888000
259;103;"Lorong 12 Geylang";Roronoa Gang Bege;Roronoa_Gang_Bege;1.311688,103.878273
260;430;"Lorong 12 Geylang";Dracule Mihawk;Dracule_Mihawk;1.311688,103.878273
261;553;"Geylang East Central";Pedro Mihawk;Pedro_Mihawk;1.320271,103.887383
262;921;"Geylang East Avenue 1";Nefertari Zoro;Nefertari_Zoro;1.316649,103.885158
263;551;"Lorong Bachok";Roronoa Gladiator;Roronoa_Gladiator;1.313975,103.879763
264;883;"Jalan Dua";Arlong Robin;Arlong_Robin;1.308984,103.887473
265;237;"Geylang East Avenue 2";Vinsmoke Duke;Vinsmoke_Duke;1.318552,103.889010
266;512;"Lorong 38 Geylang";Crocodile Luffy;Crocodile_Luffy;1.314268,103.888856
267;833;"Lorong 25 Geylang";Portgas D. Doflamingo;Portgas_D_Doflamingo;1.314279,103.882528
268;6;"Geylang East Avenue 2";Marshall D. Marine;Marshall_D_Marine;1.317158,103.890001
269;887;"Jalan Dua";Portgas D. Revo;Portgas_D_Revo;1.308984,103.887473
270;355;"Tanjong Katong Road";Ivankov Fishman;Ivankov_Fishman;1.303616,103.896680
271;506;"Lorong 25 Geylang";Trafalgar D. Marine;Trafalgar_D_Marine;1.313488,103.882843
272;324;"Paya Lebar Road";Bentham Mr.2;Bentham_Mr2;1.328633,103.889822
273;226;"Lorong 16 Geylang";Vinsmoke Teach;Vinsmoke_Teach;1.311786,103.879886
274;246;"Tanjong Katong Road";Eustass Mad Monk;Eustass_Mad_Monk;1.306358,103.895616
275;515;"Lorong 27 Geylang";Viola Luffy;Viola_Luffy;1.315859,103.883817
276;558;"Lorong Bachok";Roronoa Doflamingo;Roronoa_Doflamingo;1.313975,103.879763
277;748;"Lorong 40 Geylang";Kozuki Robin;Kozuki_Robin;1.312992,103.889933
278;863;"Lorong 10 Geylang";Rebecca Mad Monk;Rebecca_Mad_Monk;1.311505,103.877669
279;526;"Paya Lebar Road";Yamato Vivi;Yamato_Vivi;1.328633,103.889822
280;199;"Lorong 27 Geylang";Vinsmoke Dancer;Vinsmoke_Dancer;1.315859,103.883817
281;634;"Geylang East Avenue 1";Enel Ace;Enel_Ace;1.316649,103.885158
282;559;"Paya Lebar Road";Dracule God;Dracule_God;1.328633,103.889822
283;291;"Lorong 40 Geylang";Sabo Cat Viper;Sabo_Cat_Viper;1.312992,103.889933
284;606;"Lorong 25 Geylang";Rebecca Cat Viper;Rebecca_Cat_Viper;1.313488,103.882843
285;798;"Geylang East Avenue 1";Nico Sanji;Nico_Sanji;1.317657,103.885703
286;893;"Lorong 38 Geylang";Enel (Okama);Enel_Okama;1.314268,103.888856
287;81;"Paya Lebar Road";Bentham God;Bentham_God;1.329271,103.889845
288;308;"Lorong 12 Geylang";Arlong Revo;Arlong_Revo;1.311688,103.878273
289;780;"Geylang Road";Monkey D. Mermaid Princess;Monkey_D_Mermaid_Princess;1.313369,103.883518
290;637;"Lorong 27 Geylang";Donquixote Star Clown;Donquixote_Star_Clown;1.315859,103.883817
291;798;"Aljunied Road";Boa Oden;Boa_Oden;1.320843,103.881743
292;894;"Lorong 10 Geylang";Pekoms Gang Bege;Pekoms_Gang_Bege;1.311505,103.877669
293;152;"Lorong Bachok";Eustass Kid;Eustass_Kid;1.313975,103.879763
294;953;"Lorong 10 Geylang";Bentham Clown;Bentham_Clown;1.312150,103.877529
295;353;"Geylang East Avenue 1";Nico Katakuri;Nico_Katakuri;1.316649,103.885158
296;625;"Geylang Road";Buggy Luffy;Buggy_Luffy;1.313369,103.883518
297;544;"Lorong 12 Geylang";Eustass (Okama);Eustass_Okama;1.311688,103.878273
298;235;"Jalan Satu";Jewelry Revo;Jewelry_Revo;1.308453,103.889060
299;436;"Lorong 28 Geylang";X. Drake Ace;X_Drake_Ace;1.312948,103.885577
300;183;"Jalan Dua";Nefertari Doflamingo;Nefertari_Doflamingo;1.308984,103.887473
